"Number","Question","What was the problem type?","What was the problem?","How would you fix it?","Answer","Commit","Comment"
1,"select w.id from georef.way as w where w.id not in (select way_id from georef.fusion_ways);",performance,used in,use join instead,"select w.id from georef.way w left outer join georef.fusion_ways fw on(w.id=fw.way_id) where fw.id IS NULL",d46f3e8340de2ce859729cb0e1c80570b568d1d1,
2,"CREATE TABLE visit_occurrence (   visit_occurrence_id   INTEGER   NOT NULL ,   person_id      INTEGER   NOT NULL ,   visit_source_value    VARCHAR(50)  NULL,   visit_source_concept_id  INTEGER   NULL    admitting_source_concept_id INTEGER   NULL ,   admitting_source_value  VARCHAR(50)  NULL , ) ;",fix,A missing comma,add comma," CREATE TABLE visit_occurrence (   visit_occurrence_id   INTEGER   NOT NULL ,   person_id      INTEGER   NOT NULL ,   visit_source_value    VARCHAR(50)  NULL,   visit_source_concept_id  INTEGER   NULL,    admitting_source_concept_id INTEGER   NULL ,   admitting_source_value  VARCHAR(50)  NULL , ) ;",5e64eb1b4d28da699968aa95585da6d855bbc4a5,
3," insert into dbo.d_arvokyselykerta ( SELECT distinct    -1   ,[source]   ,koodi   ,nimi   ,koodi   ,nimi   ,nimi_sv   ,nimi_en    ,nimi   ,-1 FROM ANTERO_SA.dbo.sa_koodistot   where koodisto='vipunenmeta'   and koodi='-1' )   ; ",performance,"Used distinct to removed duplicates, which can be 10 time slower than group by",use group by,"   insert into dbo.d_arvokyselykerta ( SELECT     -1   ,[source]   ,koodi   ,nimi   ,koodi   ,nimi   ,nimi_sv   ,nimi_en    ,nimi   ,-1 FROM ANTERO_SA.dbo.sa_koodistot   where koodisto='vipunenmeta'   and koodi='-1' group by   [source]   ,koodi   ,nimi   ,koodi   ,nimi   ,nimi_sv   ,nimi_en    ,nimi )  ;",19327d9e094ed4535a476bb331911f2e06bcb1c5,
4,DROP DATABASE gogs;,fix,Dropping a none existing object will fail the code,check for existence in drop,DROP DATABASE IF EXISTS gogs;,6ce8fa49eaa9550951f355da3060b6c9f91010bf,"In general, beware of dropping databases"
5,"CREATE TABLE data_log ( id INT PRIMARY KEY, log_text VARCHAR(255) ) ENGINE=MyISAM;","performance","MyISAM uses table-level locking which significantly degrades concurrent insert/update performance.","Change the table storage engine from MyISAM to InnoDB to utilize row-level locking.","CREATE TABLE data_log ( id INT PRIMARY KEY, log_text VARCHAR(255) ) ENGINE=InnoDB;","895dd0f5","InnoDB is the recommended engine for modern MySQL concurrent workloads."
6,"SELECT COALESCE(package_name, NULL) AS pkg_name FROM packages;","refactor","Wrapping a column in COALESCE with NULL as the fallback is completely redundant and adds unnecessary function calls.","Remove the redundant COALESCE function.","SELECT package_name AS pkg_name FROM packages;","b7db4e56","Cleans up the code and avoids unnecessary function overhead during execution."
7,"SELECT * FROM users WHERE YEAR(created_at) = 2023;","performance","Applying a function like YEAR() to a column prevents the database from using indexes on that column (Non-SARGable), forcing a full table scan.","Compare the column directly against a literal date range so the engine can perform an index range scan.","SELECT * FROM users WHERE created_at >= '2023-01-01' AND created_at < '2024-01-01';","N/A (Bonus 1)","SARGable (Search Argument Able) queries are critical for utilizing B-Tree indexes effectively."
8,"SELECT CASE WHEN (SELECT COUNT(*) FROM orders WHERE user_id = 123) > 0 THEN 1 ELSE 0 END;","performance","Using COUNT(*) forces the database to find and count every single matching row, which is wasteful if you only need to check for existence.","Use the EXISTS operator, which short-circuits and stops searching the moment it finds the first matching row.","SELECT CASE WHEN EXISTS (SELECT 1 FROM orders WHERE user_id = 123) THEN 1 ELSE 0 END;","N/A (Bonus 2)","EXISTS is highly optimized for boolean existence checks and avoids unnecessary read operations."
9,"SELECT * FROM employees JOIN departments ON employees.dept_id = departments.id;","performance","Using SELECT * retrieves all columns from all joined tables, increasing memory allocation, network payload, and preventing the use of covering indexes.","Explicitly select only the exact columns required by the application.","SELECT employees.id, employees.name, departments.department_name FROM employees JOIN departments ON employees.dept_id = departments.id;","N/A (Bonus 3)","Fetching only necessary columns minimizes I/O latency and allows the optimizer to use covering indexes."
10," SELECT
    t1.end_period                 AS `Period`,
    SUM(t1.cost * t1.run_time)    AS `Total CPU Time Usage`,
    ref_cat_table.ref_category    AS ref_category
FROM %DB%.accounting_view AS t1
RIGHT JOIN user_info.user_refcats AS ref_cat_table 
    ON t1.owner = ref_cat_table.username 
    WHERE end_time > start_time
    AND ref_cat_table.ref_category = '%REFCAT%'",representation,The time was shown in seconds which is not relevant,change the time to hours,"   t1.end_period			AS `Period`,
    SUM((t1.cost * t1.run_time)/3600)	AS `Total CPU Time Usage`,
    ref_cat_table.ref_category		AS ref_category
FROM %DB%.accounting_view		AS t1
RIGHT JOIN user_info.user_refcats 	AS ref_cat_table 
    ON t1.owner = ref_cat_table.username 
    WHERE end_time > start_time
    AND ref_cat_table.ref_category = '%REFCAT%'",62246ed0312999027fca7561c5c3a0a345ab972b,
11," private[ldbc] def mediumblobType: Parser[DataType] =
    customError(
      caseSensitivity(""mediumblob"") ^^ (_ => DataType.TINYBLOB()),
      input => s""""""",storage,datatype to small for the data,Change bug TinyBlob to MediumBlob,"  private[ldbc] def mediumblobType: Parser[DataType] =
    customError(
      caseSensitivity(""mediumblob"") ^^ (_ => DataType.MEDIUMBLOB()),
      input => s""""""
        |===============================================================================
        |Failed to parse mediumblob data type.",a809185eda2910d6aa5621958d274be4e097997c,
12,"CREATE TABLE groups (
	id SERIAL PRIMARY KEY NOT NULL,
	name VARCHAR(50) UNIQUE NOT NULL
);

/*",data integrity,group name could be empty,add a check contraint to make sure that char_lnegth >= 1,"CREATE TABLE groups (
	id SERIAL PRIMARY KEY NOT NULL,
	name VARCHAR(50) UNIQUE NOT NULL CHECK (char_length(name) >= 1)
);

/*",dfe62cb36a95bfce3e4446bfc04d80eeee01f9a5,
